img_file,label
40d999369a6f40e9afd51ef0792d5abc.jpg,kabaddi
c55b75c0ef7c48a0b4988b98afdd639e.jpg,bobsled
e309c9634db6403291716e336735d294.jpg,football
951b9c11eb4b4fa1947d759f2c488adc.jpg,horse jumping
3a4eeea01b5745b5b21314c8623b733a.jpg,formula 1 racing
e5d35d896e3843cb9c0000c2e7981e57.jpg,motogp
b7753010790e48f99a0a1097791c4576.jpg,volleyball
696cc90415e049d1a6285d7493a18c83.jpg,tennis
44c1217c7bb14d12813909e90443d9f5.jpg,shot put
4f283cf1ff124d80b4ed06b5e1b90822.jpg,kabaddi
ea0c5000710d43049a785d4f6d41c95e.jpg,log rolling
0ff9a405f5c1450a8057a76e923d530a.jpg,swimming
71fcb2fc8e2d43ad806acdd403444386.jpg,formula 1 racing
c90c999768394da9b18050791a6280b4.jpg,volleyball
6e6afe6f67874e4ab3ec471f5e3df584.jpg,giant slalom
37c61b8b70b44f6db0d49dfa4a946f84.jpg,table tennis
af463649fcf64c778cb0160bc0418247.jpg,cricket
648dd22c08e54373a33e3e714ab8dd4e.jpg,bobsled
eee91724e3fb4660ba73c665c6a2ae10.jpg,cricket
094cd04656d243ae9c0b98b073aa9c34.jpg,wrestling
a171c1e7cc8148dd922bb888899c1006.jpg,ice_hockey
214269e36d2445e68f8ff5a47d0e66a9.jpg,wwe
222a86038fd8481081f3ecb701f60be0.jpg,shuffleboard
bf3c14527889452f85cdc4222d105048.jpg,golf
4bfb5755a6514a04a36303c31e18f608.jpg,roller derby
05db1ea1d7714a75a9d1e1746f397f51.jpg,cheerleading
2ef6cea3b1fc4c28aa66078fdb4fc7f4.jpg,hang gliding
02ca1f7923994c2c95894b31c6282d6a.jpg,ice_hockey
3dbea86e79fc4214ba27e1429eea7f76.jpg,chess
2d0e32f527de45ae90830f4ea4f7a054.jpg,wrestling
194001b37a784e1a9d3560b5563ec543.jpg,luge
425b4e4df20043dfb95fef0442b2427d.jpg,table tennis
00d853502aca4d5586a1349b0c04b698.jpg,cricket
95c6187c57b64626bbe3bf8f79035b04.jpg,canoe slamon
a39f66f0c75144b8bbfbcbbcff58262a.jpg,table tennis
c78fbfe3a83d45a293e110a81e93e13c.jpg,wrestling
2d3b89ec89bc4156ac576bb63d348d19.jpg,basketball
f39020e7e2eb475b98fb921a320d2256.jpg,rings
591e3d34dfdc43b09aa7a1452b7ac76f.jpg,kabaddi
